Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Date
Railway Range,0,2,2,0,0,2,0,0,0,4,17,0,0,32,0,2022-02-01
Rajshahi Range,2,6,31,11,0,172,0,3,14,64,518,28,2,1107,77,2022-02-01
Rangpur Range,1,3,22,2,0,176,2,0,16,60,557,2,0,379,9,2022-02-01
SMP,0,2,3,6,0,17,0,1,4,6,86,0,0,52,3,2022-02-01
Sylhet Range,1,2,13,1,0,81,1,1,3,37,267,2,1,163,30,2022-02-01
BMP,0,0,0,1,0,18,1,0,5,10,59,1,0,108,0,2022-03-01
Barishal Range,3,6,7,1,0,126,1,3,13,29,366,4,0,252,0,2022-03-01
CMP,0,3,1,13,0,69,1,1,9,29,172,18,1,156,2,2022-03-01
Chittagong Range,6,14,37,6,0,231,6,7,28,108,904,49,3,1293,29,2022-03-01
DMP,1,16,17,13,0,199,3,12,60,146,680,7,10,1465,17,2022-03-01
Dhaka Range,17,25,57,24,0,312,8,17,51,160,1105,14,9,834,3,2022-03-01
GMP,4,1,10,3,0,53,1,1,2,15,75,2,0,85,1,2022-03-01
KMP,0,0,1,0,0,12,0,0,2,4,34,1,1,89,1,2022-03-01
Khulna Range,1,5,28,6,0,160,1,2,12,67,638,9,4,578,14,2022-03-01
Mymensingh Range,2,6,20,6,0,196,5,1,3,56,553,2,0,309,26,2022-03-01
RMP,0,1,1,0,0,18,1,1,2,8,48,1,0,261,1,2022-03-01
RPMP,0,0,2,3,0,16,0,0,0,18,64,0,0,38,0,2022-03-01
Railway Range,0,2,1,0,0,1,0,1,0,17,25,0,0,35,2,2022-03-01
Rajshahi Range,0,7,28,11,0,227,2,8,7,87,608,31,1,1165,72,2022-03-01
Rangpur Range,0,3,21,1,0,224,4,1,17,74,621,0,0,428,8,2022-03-01
SMP,0,2,1,5,0,31,0,0,4,10,94,1,0,73,5,2022-03-01
Sylhet Range,1,3,15,2,0,83,3,2,8,50,353,0,0,261,13,2022-03-01
BMP,1,1,2,0,0,11,0,4,5,9,38,1,0,92,0,2022-04-01
Barishal Range,1,3,12,0,0,106,3,2,13,25,440,2,0,241,3,2022-04-01
CMP,0,11,4,12,0,75,3,3,21,48,199,18,1,175,1,2022-04-01
Chittagong Range,0,16,55,9,0,18,7,7,26,103,1027,78,1,1212,22,2022-04-01
DMP,3,8,16,13,0,184,5,9,68,151,700,9,6,1217,29,2022-04-01
Dhaka Range,11,26,56,48,0,347,7,10,46,145,1266,15,5,752,2,2022-04-01
GMP,1,7,2,4,0,40,1,1,2,14,86,0,0,70,0,2022-04-01
KMP,0,0,0,0,0,12,0,1,3,3,29,1,0,83,0,2022-04-01
Khulna Range,0,10,31,4,0,154,2,3,11,88,813,11,2,616,12,2022-04-01
Mymensingh Range,1,2,17,8,0,182,1,2,1,62,750,3,0,308,26,2022-04-01
RMP,0,1,5,0,0,15,1,1,2,4,40,1,0,206,0,2022-04-01
RPMP,0,0,0,0,0,24,0,0,1,14,71,0,0,43,0,2022-04-01
Railway Range,0,3,0,0,0,0,0,0,0,13,14,0,0,28,3,2022-04-01
Rajshahi Range,3,11,28,3,0,237,1,3,7,83,765,26,4,1057,69,2022-04-01
Rangpur Range,1,2,21,4,0,195,3,3,15,71,808,1,0,404,11,2022-04-01
SMP,0,0,5,5,0,20,0,2,5,15,87,4,0,55,6,2022-04-01
Sylhet Range,2,6,15,1,0,93,1,4,2,39,445,0,1,155,27,2022-04-01
BMP,0,1,0,1,0,15,0,0,4,7,43,1,0,96,0,2022-05-01
Barishal Range,0,5,11,7,0,116,1,1,9,21,441,2,0,246,0,2022-05-01
CMP,0,9,6,17,0,76,3,2,19,28,173,18,1,144,3,2022-05-01
Chittagong Range,4,9,41,8,0,213,5,10,31,86,1024,61,0,1077,17,2022-05-01
DMP,0,11,11,9,1,186,3,8,68,133,626,4,7,1411,10,2022-05-01
Dhaka Range,13,24,65,28,0,333,9,7,32,102,1167,18,4,855,3,2022-05-01
GMP,3,1,3,0,0,31,3,0,5,15,71,1,0,79,0,2022-05-01
KMP,0,0,1,0,0,21,0,0,2,8,24,1,0,73,1,2022-05-01
Khulna Range,1,2,27,1,0,184,1,2,16,67,722,9,2,574,7,2022-05-01
Mymensingh Range,0,4,26,12,0,190,3,2,4,31,685,2,0,270,24,2022-05-01
RMP,0,2,3,1,0,17,0,0,3,6,54,1,0,247,0,2022-05-01
RPMP,0,0,0,2,0,15,0,0,0,12,57,0,0,42,0,2022-05-01
Railway Range,0,2,1,0,0,3,0,0,0,15,15,0,0,20,1,2022-05-01
Rajshahi Range,1,12,38,4,0,251,1,6,7,58,773,26,1,1121,63,2022-05-01
Rangpur Range,2,2,21,3,0,241,3,2,17,56,751,3,0,380,9,2022-05-01
SMP,0,0,3,2,0,26,0,2,4,14,67,0,0,57,2,2022-05-01
Sylhet Range,0,1,19,1,0,83,0,2,5,30,421,0,1,184,21,2022-05-01
BMP,0,1,1,1,0,17,0,0,2,9,42,0,0,77,0,2022-06-01
Barishal Range,4,3,12,5,0,121,0,6,12,27,355,1,0,221,0,2022-06-01
CMP,0,11,7,12,0,66,2,1,11,29,152,15,0,142,3,2022-06-01
Chittagong Range,5,12,38,9,0,237,7,6,34,103,903,38,1,1172,20,2022-06-01
DMP,3,10,21,7,0,199,4,15,63,131,684,6,5,1342,23,2022-06-01
Dhaka Range,16,20,60,30,0,323,11,10,48,153,1096,20,2,838,0,2022-06-01
GMP,1,4,3,1,0,47,3,1,1,13,72,1,0,68,0,2022-06-01
KMP,1,0,2,1,0,13,0,1,2,2,32,2,1,87,0,2022-06-01
Khulna Range,7,4,23,5,0,184,3,6,14,74,768,9,1,672,14,2022-06-01
Mymensingh Range,0,3,15,12,0,218,0,2,7,44,502,3,0,330,29,2022-06-01
RMP,0,2,3,0,0,13,1,1,3,16,49,0,0,209,2,2022-06-01
RPMP,0,0,0,0,0,7,0,0,0,20,59,0,0,27,0,2022-06-01
Railway Range,0,1,4,0,0,3,0,0,0,9,11,0,0,39,2,2022-06-01
Rajshahi Range,0,6,25,5,0,259,4,4,12,83,685,28,2,1084,70,2022-06-01
Rangpur Range,0,5,24,4,0,219,5,0,11,84,694,2,0,340,6,2022-06-01
SMP,0,0,1,4,0,26,0,2,2,9,71,0,0,68,5,2022-06-01
Sylhet Range,3,3,10,3,0,87,0,1,5,36,312,3,1,151,12,2022-06-01
BMP,0,1,2,1,0,17,0,0,4,3,32,1,0,82,0,2022-07-01
Barishal Range,3,1,18,1,0,109,1,2,10,23,367,3,0,252,0,2022-07-01
CMP,0,6,7,12,0,51,4,0,10,28,171,11,0,137,5,2022-07-01
Chittagong Range,5,15,40,12,0,246,4,9,42,101,954,49,0,1087,29,2022-07-01
DMP,4,13,13,12,0,174,3,3,70,121,621,5,5,1190,5,2022-07-01
Dhaka Range,14,31,74,15,0,296,5,8,47,133,1140,11,5,751,2,2022-07-01
GMP,2,4,8,3,0,40,1,0,1,3,66,3,0,58,0,2022-07-01
KMP,0,0,2,1,0,14,1,0,6,6,20,0,0,71,0,2022-07-01
Khulna Range,3,6,24,5,0,180,0,0,18,84,744,18,1,574,13,2022-07-01
Mymensingh Range,3,3,27,9,0,199,6,2,6,43,603,1,0,261,39,2022-07-01
RMP,0,2,4,0,0,9,1,0,5,3,46,2,0,215,0,2022-07-01
RPMP,0,0,0,3,0,12,0,0,2,12,60,0,0,20,0,2022-07-01
Railway Range,0,1,0,0,0,1,0,0,0,9,19,0,0,28,1,2022-07-01
Rajshahi Range,1,6,34,8,0,262,2,2,7,55,774,12,5,1146,61,2022-07-01
Rangpur Range,1,5,21,1,0,252,5,7,20,63,771,0,1,313,11,2022-07-01
SMP,0,2,1,8,0,25,0,1,5,15,87,0,0,59,6,2022-07-01
Sylhet Range,1,1,31,0,0,75,0,6,5,41,359,0,0,177,10,2022-07-01
BMP,0,2,2,0,0,15,0,0,3,10,36,0,0,77,0,2022-08-01
Barishal Range,2,4,9,0,0,130,1,0,15,29,329,2,0,220,0,2022-08-01
CMP,0,6,7,16,0,70,1,3,13,24,185,6,0,210,5,2022-08-01
Chittagong Range,8,14,47,14,1,255,5,14,34,93,969,40,6,1094,39,2022-08-01
DMP,2,10,17,20,0,181,6,4,73,151,679,3,7,1448,17,2022-08-01
Dhaka Range,13,31,59,17,0,337,15,8,64,143,1061,22,5,856,4,2022-08-01
GMP,1,3,6,0,0,28,1,1,5,10,56,6,1,98,0,2022-08-01
KMP,0,0,2,0,0,17,1,0,3,5,41,1,0,64,0,2022-08-01
Khulna Range,5,6,21,3,0,168,3,1,26,92,705,8,5,644,17,2022-08-01
Mymensingh Range,2,4,20,8,0,238,7,4,11,67,637,2,0,345,40,2022-08-01
RMP,1,4,1,2,0,27,0,0,7,9,45,2,0,248,1,2022-08-01
RPMP,0,0,1,0,0,16,1,1,0,15,55,0,0,33,0,2022-08-01
Railway Range,0,2,0,0,0,1,0,0,0,22,15,0,0,34,2,2022-08-01
Rajshahi Range,2,13,32,8,0,302,1,3,14,99,713,20,2,1288,47,2022-08-01
Rangpur Range,3,5,23,1,0,300,2,2,19,82,806,2,0,399,6,2022-08-01
SMP,0,0,2,8,0,34,0,1,5,12,85,1,0,67,2,2022-08-01
Sylhet Range,1,3,17,1,0,96,1,2,2,47,405,3,0,173,21,2022-08-01
BMP,2,0,1,0,0,15,0,1,5,9,41,0,0,72,0,2022-09-01
Barishal Range,1,2,12,1,0,111,0,1,6,38,309,4,1,228,0,2022-09-01
CMP,1,8,6,9,0,69,1,2,16,26,144,6,0,182,1,2022-09-01
Chittagong Range,11,21,55,15,2,230,10,11,40,107,804,36,3,1105,49,2022-09-01
DMP,4,15,18,14,4,173,2,4,61,175,605,6,7,1241,13,2022-09-01
Dhaka Range,15,31,67,32,0,310,7,5,46,128,980,13,6,902,5,2022-09-01
GMP,3,1,3,4,0,35,1,2,4,12,68,4,1,88,0,2022-09-01
KMP,0,2,1,1,0,20,1,0,6,7,26,1,0,83,0,2022-09-01
Khulna Range,2,3,22,6,1,202,1,4,21,101,701,7,3,650,31,2022-09-01
Mymensingh Range,3,3,23,3,0,222,7,3,4,50,512,2,0,314,53,2022-09-01
RMP,0,3,3,0,0,16,0,0,3,12,54,1,0,214,1,2022-09-01
RPMP,0,0,0,2,0,12,0,0,0,12,51,0,0,34,0,2022-09-01
Railway Range,0,2,2,0,0,0,1,0,0,13,14,3,0,38,2,2022-09-01
Rajshahi Range,2,12,30,4,0,247,4,7,9,84,654,21,4,1083,35,2022-09-01
Rangpur Range,1,4,19,2,0,277,3,1,22,84,739,1,0,389,4,2022-09-01
SMP,0,0,2,6,0,32,0,1,6,9,87,0,0,57,4,2022-09-01
Sylhet Range,2,2,19,3,0,109,2,3,8,59,343,1,0,203,30,2022-09-01
BMP,0,0,2,1,0,18,0,1,6,8,41,0,1,80,0,2022-10-01
Barishal Range,1,1,11,2,0,125,1,1,19,23,496,0,0,198,0,2022-10-01
CMP,0,5,5,4,0,56,6,2,13,32,146,3,1,182,2,2022-10-01
Chittagong Range,16,20,38,9,0,214,9,12,42,88,932,26,2,988,40,2022-10-01
DMP,0,9,13,31,0,158,6,7,51,119,676,5,14,1240,11,2022-10-01
Dhaka Range,9,24,77,33,0,320,12,9,41,126,1014,14,2,919,3,2022-10-01
GMP,0,2,6,1,0,39,6,3,2,19,75,1,1,88,2,2022-10-01
KMP,0,0,1,1,0,19,1,0,7,4,29,2,0,69,0,2022-10-01
Khulna Range,7,5,22,7,0,168,3,1,21,96,676,12,8,580,22,2022-10-01
Mymensingh Range,0,3,30,5,0,193,6,3,5,46,470,2,0,306,34,2022-10-01
RMP,0,5,0,0,0,17,1,1,1,5,51,2,0,218,0,2022-10-01
RPMP,0,0,1,0,0,23,0,0,0,22,48,0,0,27,0,2022-10-01
Railway Range,0,3,2,0,0,1,0,1,0,19,12,5,0,33,2,2022-10-01
Rajshahi Range,3,17,35,7,0,208,2,4,13,75,657,26,3,1128,31,2022-10-01
Rangpur Range,0,5,22,4,0,260,6,2,15,64,671,0,0,348,10,2022-10-01
SMP,0,1,0,8,0,34,1,0,8,6,70,1,0,61,10,2022-10-01
Sylhet Range,2,2,12,4,0,89,1,4,8,32,350,1,2,175,29,2022-10-01
BMP,1,0,0,2,0,11,0,0,3,9,47,0,0,88,0,2022-11-01
Barishal Range,1,3,8,2,0,88,3,1,8,26,307,0,1,203,0,2022-11-01
CMP,1,5,7,2,0,42,3,0,20,36,130,2,0,213,5,2022-11-01
Chittagong Range,6,14,38,13,0,177,8,6,27,66,787,30,5,1077,45,2022-11-01
DMP,2,13,14,10,3,142,3,5,51,134,630,3,19,1331,9,2022-11-01
Dhaka Range,7,30,64,22,0,260,4,14,43,105,986,17,24,944,4,2022-11-01
GMP,1,2,5,2,0,33,5,6,2,11,80,4,0,116,2,2022-11-01
KMP,0,0,0,0,0,19,0,0,3,6,26,0,0,69,0,2022-11-01
Khulna Range,4,7,23,5,0,163,0,3,21,92,658,9,5,626,26,2022-11-01
Mymensingh Range,0,2,24,3,0,159,3,2,9,45,484,3,3,382,22,2022-11-01
RMP,0,0,0,0,0,5,0,2,5,7,48,1,0,211,0,2022-11-01
RPMP,0,0,0,0,0,13,0,0,0,20,49,0,0,27,0,2022-11-01
Railway Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-01
Rajshahi Range,5,7,28,7,0,182,1,7,14,73,691,37,43,1081,32,2022-11-01
Rangpur Range,1,6,23,5,0,204,1,3,20,75,727,1,0,342,11,2022-11-01
SMP,0,0,0,6,0,26,0,0,7,11,71,2,0,39,6,2022-11-01
Sylhet Range,0,3,16,5,0,62,2,5,4,51,352,1,0,141,21,2022-11-01
BMP,0,0,0,1,0,7,1,0,4,8,38,1,1,79,0,2022-12-01
Barishal Range,3,1,5,2,0,77,3,1,9,28,318,3,18,216,3,2022-12-01
CMP,0,5,4,3,0,28,1,2,13,36,116,4,1,173,4,2022-12-01
Chittagong Range,3,13,38,8,0,155,6,15,28,82,719,33,8,1001,40,2022-12-01
DMP,1,14,11,10,0,105,7,10,50,95,445,3,34,961,7,2022-12-01
Dhaka Range,10,26,51,17,1,182,3,8,27,135,813,8,29,957,4,2022-12-01
GMP,1,1,6,2,0,27,2,1,1,10,80,1,3,83,1,2022-12-01
KMP,1,0,4,0,0,18,0,1,5,4,39,1,0,76,0,2022-12-01
Khulna Range,0,3,18,2,0,118,1,0,9,75,566,11,23,631,14,2022-12-01
Mymensingh Range,1,0,12,3,0,123,1,3,14,27,0,0,5,275,31,2022-12-01
RMP,0,0,1,0,0,16,2,0,1,4,41,0,0,206,2,2022-12-01
RPMP,0,0,0,2,0,5,0,0,0,10,40,0,0,33,0,2022-12-01
Railway Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-01
Rajshahi Range,1,6,20,4,0,135,4,2,9,59,626,32,8,940,21,2022-12-01
Rangpur Range,1,2,17,4,0,136,2,7,14,64,681,0,0,405,10,2022-12-01
SMP,0,0,0,6,0,12,0,3,2,6,58,0,0,42,12,2022-12-01
Sylhet Range,1,2,11,0,0,58,1,3,3,52,313,1,0,160,19,2022-12-01
BMP,1,0,0,0,0,15,0,1,5,13,38,0,0,74,0,2023-01-01
Barishal Range,2,2,13,3,0,78,1,2,8,26,326,2,0,248,1,2023-01-01
CMP,1,10,5,2,0,29,3,6,11,29,117,1,2,233,2,2023-01-01
Chittagong Range,6,16,43,5,0,134,6,8,36,100,693,37,2,1082,50,2023-01-01
DMP,0,19,9,23,1,122,4,4,42,122,540,7,12,1303,10,2023-01-01
Dhaka Range,12,25,48,21,0,221,5,9,30,117,879,17,0,961,8,2023-01-01
GMP,1,2,4,4,0,26,2,3,1,6,76,1,1,78,0,2023-01-01
KMP,1,0,1,0,0,24,1,0,2,6,30,2,0,87,1,2023-01-01
Khulna Range,3,4,15,4,0,121,2,0,10,76,587,6,1,686,18,2023-01-01
Mymensingh Range,0,2,14,7,0,108,1,0,7,44,478,3,7,300,37,2023-01-01
RMP,0,5,2,0,0,16,1,0,2,8,49,1,5,172,0,2023-01-01
RPMP,0,0,0,0,0,12,0,0,0,18,46,1,0,29,0,2023-01-01
Railway Range,0,1,0,0,0,1,0,0,0,15,9,3,0,27,3,2023-01-01
Rajshahi Range,0,11,22,4,0,146,2,0,12,78,582,29,0,1062,30,2023-01-01
Rangpur Range,0,3,23,1,0,157,3,0,21,64,695,0,0,389,11,2023-01-01
SMP,0,2,0,5,0,10,0,0,3,11,55,0,0,47,17,2023-01-01
Sylhet Range,0,5,15,5,0,45,0,3,1,51,334,0,1,190,36,2023-01-01
BMP,1,0,2,0,0,16,1,0,5,2,37,0,0,69,0,2023-02-01
Barishal Range,1,2,8,2,0,65,0,1,9,15,313,2,2,204,1,2023-02-01
CMP,0,4,6,7,0,39,1,3,5,23,127,0,1,235,2,2023-02-01
Chittagong Range,3,12,45,10,0,142,3,9,32,96,796,36,2,920,26,2023-02-01
DMP,2,15,18,9,0,126,2,6,46,108,620,10,10,1139,8,2023-02-01
Dhaka Range,9,21,45,17,0,235,5,13,29,115,917,13,3,935,3,2023-02-01
GMP,2,7,4,4,0,32,1,2,3,13,88,0,1,96,2,2023-02-01
KMP,0,1,0,0,0,17,0,1,2,3,32,1,1,60,0,2023-02-01
Khulna Range,1,10,16,19,0,109,2,4,13,72,575,17,14,676,24,2023-02-01
Mymensingh Range,0,2,16,6,0,98,4,4,4,35,543,2,5,290,33,2023-02-01
RMP,0,2,2,0,0,19,3,0,2,9,54,1,5,134,0,2023-02-01
RPMP,0,0,0,1,0,13,0,0,0,8,53,0,0,32,0,2023-02-01
Railway Range,0,5,2,0,0,1,0,0,0,19,21,3,0,22,2,2023-02-01
Rajshahi Range,1,10,25,3,0,150,0,3,5,73,659,23,5,996,36,2023-02-01
Rangpur Range,0,2,22,3,0,166,2,3,8,72,675,0,0,374,10,2023-02-01
SMP,0,0,3,9,0,11,0,3,2,14,54,0,0,50,6,2023-02-01
Sylhet Range,1,4,8,5,0,56,2,4,3,48,309,1,0,147,37,2023-02-01
BMP,0,3,1,2,0,13,0,0,4,7,47,1,0,74,1,2023-03-01
Barishal Range,1,3,13,4,0,92,0,5,10,34,364,1,0,201,0,2023-03-01
CMP,0,12,4,12,0,57,3,0,13,35,159,4,0,226,3,2023-03-01
Chittagong Range,4,21,54,10,0,170,11,6,24,63,927,38,1,1081,55,2023-03-01
DMP,4,14,12,12,0,146,2,7,34,126,656,8,8,1233,13,2023-03-01
Dhaka Range,12,22,54,18,0,293,2,9,38,118,1113,24,0,1041,3,2023-03-01
GMP,2,1,8,3,0,23,3,3,1,4,75,0,1,85,2,2023-03-01
KMP,0,1,1,0,0,23,0,0,5,11,31,1,1,76,2,2023-03-01
Khulna Range,1,7,22,12,0,168,2,3,16,83,738,7,1,705,17,2023-03-01
Mymensingh Range,1,1,20,4,0,144,4,1,3,42,526,1,3,313,25,2023-03-01
RMP,0,7,1,0,0,16,1,1,2,11,53,2,3,110,0,2023-03-01
RPMP,0,0,0,2,0,14,0,0,0,12,53,0,0,30,0,2023-03-01
Railway Range,0,1,2,0,0,0,1,0,0,17,15,1,0,22,3,2023-03-01
Rajshahi Range,2,9,26,6,0,209,2,3,10,90,684,37,4,1133,51,2023-03-01
Rangpur Range,1,4,27,2,0,212,5,6,11,59,760,2,7,424,7,2023-03-01
SMP,0,3,2,11,0,19,0,1,7,19,66,0,0,42,11,2023-03-01
Sylhet Range,2,2,21,1,0,53,2,2,7,66,418,1,0,180,24,2023-03-01
BMP,0,0,3,0,0,15,0,0,4,5,48,0,0,68,0,2023-04-01
Barishal Range,1,2,10,1,0,72,2,4,6,21,435,1,1,191,0,2023-04-01
CMP,0,10,5,12,0,50,4,0,15,36,175,2,1,208,5,2023-04-01
Chittagong Range,4,18,56,6,0,165,3,8,31,77,1064,49,1,908,36,2023-04-01
DMP,4,13,12,11,0,133,9,5,54,130,527,2,6,969,13,2023-04-01
Dhaka Range,6,35,68,27,0,276,4,7,23,113,1208,22,1,949,5,2023-04-01
GMP,1,5,7,0,0,21,2,1,0,9,70,1,1,76,0,2023-04-01
KMP,0,1,2,0,0,24,0,0,5,5,33,0,0,58,0,2023-04-01
Khulna Range,3,9,22,8,0,122,5,1,12,94,745,5,3,610,20,2023-04-01
Mymensingh Range,0,3,25,10,0,103,2,0,3,44,684,4,3,291,35,2023-04-01
RMP,0,4,1,0,0,25,0,4,3,5,43,1,0,94,1,2023-04-01
RPMP,0,0,2,3,0,7,0,1,0,10,51,0,0,24,0,2023-04-01
Railway Range,0,2,0,0,0,0,0,0,0,11,8,1,0,18,1,2023-04-01
Rajshahi Range,1,10,28,13,0,166,3,1,7,74,786,30,6,889,29,2023-04-01
Rangpur Range,0,0,21,3,0,197,3,2,14,67,880,0,0,403,9,2023-04-01
SMP,0,0,1,14,0,19,0,1,5,16,87,0,0,49,9,2023-04-01
Sylhet Range,0,6,33,1,0,53,2,4,1,59,493,1,0,152,17,2023-04-01
BMP,1,0,1,1,0,21,0,0,5,7,47,0,1,66,0,2023-05-01
Barishal Range,1,2,13,1,0,109,0,3,8,28,446,5,0,242,0,2023-05-01
CMP,1,12,4,8,0,56,2,3,11,41,156,4,0,227,4,2023-05-01
Chittagong Range,6,19,42,7,0,214,12,12,34,89,1104,45,1,1052,37,2023-05-01
DMP,4,11,9,15,3,158,6,6,45,124,682,4,11,1155,9,2023-05-01
Dhaka Range,13,17,67,16,0,366,10,11,34,99,1164,26,2,1122,1,2023-05-01
GMP,0,2,9,0,0,17,0,0,3,4,50,0,0,61,0,2023-05-01
KMP,1,0,0,2,0,32,0,0,8,9,35,0,0,61,0,2023-05-01
Khulna Range,1,7,25,9,0,170,4,1,16,83,756,7,2,683,17,2023-05-01
Mymensingh Range,0,2,14,10,0,153,8,0,6,57,615,3,8,340,23,2023-05-01
RMP,0,6,0,0,0,15,1,5,4,8,63,2,10,118,0,2023-05-01
RPMP,0,0,3,1,0,9,0,0,0,11,46,0,0,32,0,2023-05-01
Railway Range,0,1,0,2,0,1,0,0,0,15,6,0,0,22,1,2023-05-01
Rajshahi Range,3,12,23,10,0,227,2,5,6,83,738,50,5,999,34,2023-05-01
Rangpur Range,3,1,21,2,0,207,3,5,9,73,867,2,0,420,10,2023-05-01
SMP,0,1,0,12,0,28,1,3,3,19,78,1,0,49,12,2023-05-01
Sylhet Range,1,2,15,3,0,84,0,1,4,57,434,2,0,178,38,2023-05-01
BMP,0,0,2,1,0,11,0,0,5,5,47,0,0,53,0,2023-06-01
Barishal Range,1,3,3,4,0,138,0,2,11,33,360,2,1,204,0,2023-06-01
CMP,0,9,5,8,0,40,1,0,15,36,147,2,0,202,6,2023-06-01
Chittagong Range,2,16,60,7,0,184,9,9,32,94,1027,36,3,975,32,2023-06-01
DMP,4,25,24,16,0,136,7,8,36,134,627,3,3,1066,6,2023-06-01
Dhaka Range,11,24,54,22,0,334,10,5,35,136,10,10,0,970,6,2023-06-01
GMP,1,3,10,0,0,22,3,1,2,7,94,0,0,81,1,2023-06-01
KMP,0,2,2,1,0,26,0,0,6,7,34,0,0,45,0,2023-06-01
Khulna Range,5,5,26,8,0,197,2,4,13,80,735,12,2,689,14,2023-06-01
Mymensingh Range,0,0,11,8,0,174,0,2,8,48,497,9,4,303,42,2023-06-01
RMP,0,1,1,0,0,16,2,0,3,3,44,1,0,51,1,2023-06-01
RPMP,0,0,0,0,0,13,0,0,0,8,44,0,0,32,1,2023-06-01
Railway Range,0,1,1,0,0,0,0,0,0,16,13,1,0,12,0,2023-06-01
Rajshahi Range,1,9,26,8,0,208,4,2,4,74,777,28,5,935,37,2023-06-01
Rangpur Range,2,6,25,3,0,251,1,2,16,77,793,0,0,329,9,2023-06-01
SMP,0,0,5,13,0,13,0,3,4,10,67,0,0,32,3,2023-06-01
Sylhet Range,0,0,17,5,0,67,1,4,3,63,363,0,0,116,29,2023-06-01
BMP,0,1,3,2,0,22,0,0,3,5,60,0,0,86,0,2023-07-01
Barishal Range,2,1,5,1,0,123,2,4,14,29,399,2,3,237,1,2023-07-01
CMP,1,12,2,6,0,53,6,2,13,20,111,1,0,196,2,2023-07-01
Chittagong Range,7,15,63,6,0,202,7,9,48,96,1044,34,15,1079,27,2023-07-01
DMP,6,12,19,33,2,134,2,12,48,103,728,5,10,1143,9,2023-07-01
Dhaka Range,15,15,58,20,0,318,3,10,41,126,1117,14,3,1063,1,2023-07-01
GMP,2,6,14,0,0,26,6,0,4,12,66,2,0,86,0,2023-07-01
KMP,1,0,5,0,0,29,0,0,7,16,47,0,0,71,0,2023-07-01
Khulna Range,2,4,27,3,1,148,1,0,20,89,693,10,3,714,13,2023-07-01
