category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Murder,SARIMA,3,2,7.529490196316253,7.674198433812883,7.592061651977322,18.008785658039812,19.689332427807603,0.6331213707904622
Murder,SARIMA,3,3,9.882199861754028,9.249132468628458,9.178577881780333,24.263557509399487,29.79586665080355,0.8585252025229809
Murder,SARIMA,3,4,8.470441254062244,8.449435421860137,8.317135898370863,19.996997165097156,23.48719530832241,0.7206125104539516
Murder,LGBM,3,0,6.938853190085132,6.8192903140280245,6.743941879555326,16.934570946525657,19.668022032861888,0.5340731967366831
Murder,LGBM,3,1,7.837339472614454,8.151761425497915,8.332494966987031,23.232520062696228,28.873263739686042,0.7735578267268444
Murder,LGBM,3,2,11.935112310454144,11.410974737523876,11.1993415128891,26.777754050760734,29.40741867512555,0.9414054158470571
Murder,LGBM,3,3,12.189056908171427,11.720570096731372,11.32882191137445,30.746962220464365,38.54903381730595,1.0879295815160095
Murder,LGBM,3,4,5.342362581419583,5.298315254119842,5.143755955359438,12.539346101434623,15.053522833373895,0.45186832797962606
Murder,Ensemble,3,0,2.8652781723120855,2.998225152855786,2.9548945431427875,7.4455924629351955,11.177052673153163,0.2348150054013728
Murder,Ensemble,3,1,9.911922262453416,10.163758376068978,10.610278531732348,28.966711371830467,33.4842594585028,0.9644853952884728
Murder,Ensemble,3,2,7.81931257451358,7.95999175790323,7.795029194152734,18.679447325239448,22.25692252305419,0.6566993200279494
Murder,Ensemble,3,3,7.521405620589388,7.299464100330903,7.285595546222473,19.1489274898924,20.486559961392672,0.6775526154806073
Murder,Ensemble,3,4,3.3760460187273993,3.4137786146788835,3.3843217261799072,8.079276054751404,9.67593598821792,0.29114508305410464
Murder,Naive,6,0,9.65324026939262,9.941520467829799,10.29494931220844,25.5,29.288791940490366,0.8042049934296978
Murder,Naive,6,1,12.216406951048796,11.89873417720766,12.298403092900037,31.333333333333332,36.69695718539436,1.0432852386237512
Murder,Naive,6,2,20.705505815484106,21.73913043476829,23.67092947642264,55.0,62.069853122644545,1.93359375
Murder,Naive,6,3,11.982007729507131,11.62790697673646,11.297794727219621,29.166666666666668,31.184932259025352,1.0320134793597304
Murder,Naive,6,4,8.445837183074117,9.067188519237398,9.120659968783688,23.166666666666668,31.51454690562228,0.8348348348348349
Murder,SNaive,6,0,9.14593359476142,9.096816114354063,8.633483632048709,23.333333333333332,26.932013168965543,0.735873850197109
Murder,SNaive,6,1,8.054925458719476,7.7848101265773515,8.053575968846998,20.5,23.717082451262844,0.6825749167591565
Murder,SNaive,6,2,11.063056368003087,10.737812911718882,10.703324909008298,27.166666666666668,29.5606720717465,0.9550781250000001
Murder,SNaive,6,3,9.990373371264099,9.63455149501021,9.765679021441688,24.166666666666668,27.107809452874154,0.8550968828980624
Murder,SNaive,6,4,5.584173484239056,5.283757338548412,5.583749295396685,13.5,16.527754435090895,0.4864864864864865
Murder,ETS,6,0,4.893010301258211,4.830092769791667,4.818554236967676,12.389187954523678,14.656282282265295,0.3907234046104708
Murder,ETS,6,1,9.683272103306162,9.882337075565705,10.225319619779523,26.023487632339492,29.45146420179428,0.8664868246061984
Murder,ETS,6,2,10.537772713918878,10.608778230103507,10.643447724927151,26.840208922179556,29.116468292346415,0.943601094920375
Murder,ETS,6,3,5.995717638675412,5.94694586806261,6.268653743324724,14.916922552400289,18.470820784624124,0.5278102335305915
Murder,ETS,6,4,6.818521433899965,7.097211058040691,7.297363119540429,18.133374253305792,25.35904404458345,0.6534549280470556
Murder,Theta,6,0,8.323315173843714,8.593221936391195,8.8152307767495,22.041614266857735,25.86388642871507,0.6951363237905199
